path	upstream_status	project_delta	project_relation	resolution	disposition	rationale
pyproject.toml	unchanged	A	project-only	keep	preserved-from-P	Project-only or project-customized content is out of template scope
rubrics/01.md	unchanged	A	project-only	keep	preserved-from-P	Project-only or project-customized content is out of template scope
rubrics/02.md	unchanged	A	project-only	keep	preserved-from-P	Project-only or project-customized content is out of template scope
rubrics/03.md	unchanged	A	project-only	keep	preserved-from-P	Project-only or project-customized content is out of template scope
rubrics/04.md	unchanged	A	project-only	keep	preserved-from-P	Project-only or project-customized content is out of template scope
rubrics/05.md	unchanged	A	project-only	keep	preserved-from-P	Project-only or project-customized content is out of template scope
rubrics/06.md	unchanged	A	project-only	keep	preserved-from-P	Project-only or project-customized content is out of template scope
rubrics/07.md	unchanged	A	project-only	keep	preserved-from-P	Project-only or project-customized content is out of template scope
rubrics/08.md	unchanged	A	project-only	keep	preserved-from-P	Project-only or project-customized content is out of template scope
rubrics/09.md	unchanged	A	project-only	keep	preserved-from-P	Project-only or project-customized content is out of template scope
rubrics/10.md	unchanged	A	project-only	keep	preserved-from-P	Project-only or project-customized content is out of template scope
rubrics/11.md	unchanged	A	project-only	keep	preserved-from-P	Project-only or project-customized content is out of template scope
rubrics/holistic/style.md	unchanged	A	project-only	keep	preserved-from-P	Project-only or project-customized content is out of template scope
scripts/agent-workflow-hook.mjs	A	unchanged	upstream-owned-unmodified	apply	imported-with-stale-anchor-cleanup	Hook behavior retained without excluded lifecycle references
scripts/build_windows_bundle.ps1	unchanged	A	project-only	keep	preserved-from-P	Project-only or project-customized content is out of template scope
scripts/check-docs.sh	A	unchanged	upstream-owned-unmodified	apply	reconciled-from-U	Upstream workflow content adopted
scripts/create-template-archive.sh	A	unchanged	upstream-owned-unmodified	defer	excluded-template-self-packaging	Application repository does not package the template
scripts/diagnose_setuptools_discovery.py	unchanged	A	project-only	keep	preserved-from-P	Project-only or project-customized content is out of template scope
scripts/scope.mjs	A	unchanged	upstream-owned-unmodified	apply	reconciled-from-U	Upstream workflow content adopted
scripts/test-agent-workflow-hook.mjs	A	unchanged	upstream-owned-unmodified	apply	imported-with-self-test-escaping	Avoid hook false positive while testing deletion guard
scripts/test-agent-workflow-smoke.mjs	A	unchanged	upstream-owned-unmodified	apply	adapted-to-downstream-lock	Verify exact downstream lock rather than example
scripts/test-validators.mjs	A	unchanged	upstream-owned-unmodified	apply	extended-frontmatter-fixture-runner	Add unknown type duplicate and type-specific marker cases
scripts/validate-doc-links.mjs	A	unchanged	upstream-owned-unmodified	apply	isolated-invalid-fixture-metadata	Link validation does not duplicate frontmatter fixture validation
scripts/validate-frontmatter.mjs	M	D	customized-shared	apply	extended-type-specific-frontmatter-contract	Reject unknown wrong-type duplicate and misplaced schema markers
scripts/validate-intent.mjs	A	unchanged	upstream-owned-unmodified	apply	reconciled-from-U	Upstream workflow content adopted
scripts/validate-qa.mjs	A	unchanged	upstream-owned-unmodified	apply	reconciled-from-U	Upstream workflow content adopted
scripts/validate-todo.mjs	A	unchanged	upstream-owned-unmodified	apply	reconciled-from-U	Upstream workflow content adopted
server.py	unchanged	A	project-only	keep	preserved-from-P	Project-only or project-customized content is out of template scope
task_configs/08.json	unchanged	A	project-only	keep	preserved-from-P	Project-only or project-customized content is out of template scope
task_fixtures/08.json	unchanged	A	project-only	keep	preserved-from-P	Project-only or project-customized content is out of template scope
tests/test_adapters.py	unchanged	A	project-only	keep	preserved-from-P	Project-only or project-customized content is out of template scope
tests/test_benchmark_engine.py	unchanged	A	project-only	keep	preserved-from-P	Project-only or project-customized content is out of template scope
tests/test_cost_estimator.py	unchanged	A	project-only	keep	preserved-from-P	Project-only or project-customized content is out of template scope
tests/test_engine.py	unchanged	A	project-only	keep	preserved-from-P	Project-only or project-customized content is out of template scope
tests/test_grounding_corpus.py	unchanged	A	project-only	keep	preserved-from-P	Project-only or project-customized content is out of template scope
tests/test_launcher.py	unchanged	A	project-only	keep	preserved-from-P	Project-only or project-customized content is out of template scope
tests/test_model_catalog.py	unchanged	A	project-only	keep	preserved-from-P	Project-only or project-customized content is out of template scope
tests/test_result_storage.py	unchanged	A	project-only	keep	preserved-from-P	Project-only or project-customized content is out of template scope
tests/test_server_frontend.py	unchanged	A	project-only	keep	preserved-from-P	Project-only or project-customized content is out of template scope
tests/test_strict_mode.py	unchanged	A	project-only	keep	preserved-from-P	Project-only or project-customized content is out of template scope
tests/test_tool_runtime.py	unchanged	A	project-only	keep	preserved-from-P	Project-only or project-customized content is out of template scope
uv.lock	unchanged	A	project-only	keep	preserved-from-P	Project-only or project-customized content is out of template scope
